ga:date,bounceRate,sessions,pageviews,avgTimeOnPage,avgSessionDuration,avgPageLoadTime
20201205,87.68518518518519,1080,1356,197.53956834532374,50.858333333333334,6.427633027522936
20210507,24.225865209471767,1098,1353,285.0350194552529,66.72677595628416,8.450545454545454
20210412,28.401360544217685,1176,1350,464.4,69.11054421768708,6.1795
20201217,89.04593639575971,1132,1345,269.14084507042253,50.6386925795053,5.138556390977444
20210204,23.544743701129452,1151,1344,408.32307692307694,69.16768027801912,3.9911999999999996
20201130,87.29281767955801,1086,1330,271.83673469387753,61.32965009208103,5.157872727272728
20201111,89.65141612200436,918,1322,99.55308641975309,44.6437908496732,7.082170212765957
20210218,24.28174235403151,1079,1313,333.97872340425533,72.74050046339202,6.574
20210115,28.055077452667813,1162,1308,483.35135135135135,61.55851979345955,3.2531428571428576
20210123,25.500910746812387,1098,1308,383.74285714285713,73.39253187613843,5.013285714285715
20210503,23.662737987307345,1103,1304,389.0495049504951,71.24932003626473,5.4873
20201230,22.46520874751491,1006,1299,231.18088737201364,67.32902584493041,6.281171428571429
20201225,22.05736894164194,1011,1297,324.42906574394465,92.73590504451039,5.089872000000001
20201211,89.75297346752058,1093,1296,229.17733990147784,42.56450137236963,5.703575
20210216,23.099133782483154,1039,1289,280.808,67.55822906641001,3.382214285714286
20200907,88.0648899188876,863,1283,129.08333333333334,62.82271147161066,4.034059322033898
20210302,20.318352059925093,1068,1282,350.73853211009174,71.72940074906367,4.416736842105263
20210408,25.570776255707763,1095,1282,359.5935828877005,61.409132420091325,6.849166666666667
20201123,89.5111111111111,1125,1281,265.6496815286624,37.083555555555556,5.4079375
20210421,25.358851674641148,1045,1279,335.7299578059072,76.63732057416269,5.945666666666667
20201229,21.421975992613113,1083,1276,398.3692307692308,71.72760849492151,5.393058252427184
20201227,23.458038422649143,989,1269,318.779359430605,91.06167846309404,4.524878260869565
20210315,27.783063748810655,1051,1269,346.95,72.61941008563274,5.887142857142857
20201125,89.7126969416126,1079,1263,205.67391304347825,35.14272474513438,5.716707547169812
20210222,24.024024024024023,999,1260,309.67816091954023,80.89889889889889,6.901181818181818
20210323,23.551057957681692,1087,1254,464.98214285714283,71.86108555657773,14.7625
20210426,27.467411545623836,1074,1253,452.23204419889504,76.21601489757914,6.272444444444444
20210506,25.404376784015227,1051,1253,291.1170731707317,56.77545195052331,6.868347826086957
20210208,24.118207816968543,1049,1252,396.54146341463417,77.49857006673022,4.654857142857143
20210224,25.55762081784387,1076,1251,382.3519553072626,63.92657992565056,4.239125
20201127,88.76953125,1024,1250,209.359649122807,46.625,4.865108695652174
20210212,22.65084075173096,1011,1250,369.07883817427387,88.0544015825915,7.626875
20201224,21.79863147605083,1023,1248,376.56444444444446,82.81915933528836,7.128616161616161
20210409,25.547445255474454,959,1248,226.94501718213058,68.86027111574556,9.119566666666667
20210225,23.18271119842829,1018,1238,307.93243243243245,67.15520628683693,4.718666666666667
20210329,25.048732943469787,1026,1232,296.04368932038835,59.43372319688109,7.312214285714285
20201005,89.39226519337016,905,1226,162.42990654205607,58.135911602209944,5.1047982456140355
20210211,23.769730733519033,1077,1226,418.1307189542484,59.48282265552461,6.1132
20210331,26.35009310986965,1074,1226,424.9240506329114,62.512104283054,5.8425
20210330,25.761772853185594,1083,1225,394.5810810810811,53.99722991689751,7.498399999999999
20210102,24.049331963001027,973,1220,261.7903225806452,66.7245632065776,4.542262626262627
20210505,27.408793264733394,1069,1220,430.66013071895424,61.6333021515435,4.897
20210420,24.34017595307918,1023,1217,293.497461928934,56.511241446725315,6.0885
20200908,88.1336405529954,868,1214,153.58092485549133,61.225806451612904,11.865824324324326
20210303,22.88218111002921,1027,1214,358.4920634920635,65.98636806231742,9.25057142857143
20201102,87.87541713014461,899,1211,164.79872204472844,57.54505005561735,4.70106015037594
20210129,23.115079365079367,1008,1211,314.8226600985222,63.40277777777778,4.4945
20210428,26.13412228796844,1014,1209,284.7309644670051,55.31065088757396,5.298705882352942
20210217,25.436893203883493,1030,1202,391.7314285714286,66.56504854368931,4.344882352941177
20210309,22.82608695652174,1012,1202,392.9947643979058,74.16699604743083,7.367666666666667
20210531,25.759059745347702,1021,1202,353.75409836065575,63.76003917727718,7.022875
20201116,88.62034239677745,993,1201,179.28846153846155,37.55387713997986,5.713683673469388
20210414,25.667351129363446,974,1201,313.6696035242291,73.10061601642711,7.783769230769231
20210103,24.34077079107505,986,1193,312.60663507109007,67.2789046653144,5.9263979591836735
20210413,24.057971014492754,1035,1193,375.0993788819876,58.34685990338164,7.507285714285715
20210504,23.099415204678362,1026,1193,403.2426035502959,66.42105263157895,6.931466666666666
20210417,29.797979797979796,990,1192,351.76732673267327,71.77070707070708,5.376814814814815
20210109,23.82934443288241,961,1191,332.01293103448273,80.15504682622269,5.133202127659574
20210326,26.706827309236946,996,1189,292.7357512953368,56.73192771084337,6.651363636363636
20210416,28.230184581976115,921,1188,253.16296296296295,74.22366992399566,6.819
20210319,24.353448275862068,928,1187,266.51153846153846,74.71767241379311,5.627857142857144
20201222,23.596673596673597,962,1185,332.04273504273505,82.98128898128898,3.8368070175438596
20210130,24.869383490073147,957,1180,339.56502242152465,80.33124346917451,6.325153846153846
20201008,88.22292323869611,951,1178,242.75,58.70031545741325,5.304158273381295
20210304,24.392712550607285,988,1178,338.7434554973822,65.47773279352226,4.75975
20201117,89.88648090815273,969,1177,175.7772511848341,38.45923632610939,5.606056179775281
20210108,24.10358565737052,1004,1172,382.79881656804736,64.4292828685259,4.8269911504424785
20210311,24.287118977384463,1017,1165,443.17218543046357,65.81710914454277,6.686578947368421
20210418,26.956521739130434,1035,1165,371.9,47.65024154589372,6.115705882352941
20201112,88.06282722513089,955,1163,229.17307692307693,49.9151832460733,5.602121212121212
20201226,26.512651265126514,909,1163,290.6549019607843,81.53465346534654,4.749272727272727
20210429,25.696594427244584,969,1163,360.98974358974357,72.63880288957688,5.64742105263158
20210131,23.98286937901499,934,1161,373.7086956521739,92.02569593147751,5.891333333333333
20201027,87.83625730994153,855,1160,167.48366013071896,61.04795321637427,5.615296296296297
20210322,23.154701718907987,989,1157,452.2261904761905,76.81193124368049,7.3382
20210427,23.860021208907742,943,1153,344.2429906542056,78.91622481442205,6.2620555555555555
20210318,25.099206349206348,1008,1146,430.15,59.85615079365079,6.1185
20210407,25.697211155378486,1004,1146,416.006993006993,60.75,10.92725
20200904,87.58865248226951,846,1144,161.05369127516778,56.730496453900706,7.699780487804878
20210410,26.826608505997818,917,1142,306.87111111111113,75.29552889858233,9.195642857142857
20200922,89.14285714285714,875,1140,162.21428571428572,49.694857142857146,7.1547052631578945
20210405,24.72582253240279,1003,1140,425.43065693430657,58.10967098703888,12.59375
20210215,21.836734693877553,980,1137,471.53164556962025,76.04897959183674,5.183
20210310,25.154004106776178,974,1137,492.6242424242424,83.45379876796714,2.9038888888888885
20210401,25.618945102260493,929,1136,267.7142857142857,61.05920344456405,7.906333333333333
20210430,27.540650406504064,984,1135,394.31168831168833,61.70020325203252,6.606125
20210615,27.125506072874494,988,1133,426.84353741496597,63.506072874493924,3.8696666666666664
20201218,90.17400204708291,977,1131,266.44805194805195,42.0,6.109117117117117
20210301,23.86961093585699,951,1130,385.31491712707185,73.35331230283911,5.851363636363636
20200902,86.10038610038609,777,1128,173.07977207977208,78.1981981981982,6.881626865671642
20210223,24.29614181438999,959,1119,412.1111111111111,69.9082377476538,3.3414545454545457
20210601,25.21276595744681,940,1119,341.56906077348066,66.28936170212766,8.249375
20210425,28.224101479915433,946,1112,395.1377245508982,69.7568710359408,6.595923076923077
20201009,89.10776361529548,863,1110,171.28744939271255,49.03360370799537,5.605271739130435
20210706,22.594594594594593,925,1108,336.26881720430106,67.93405405405406,6.247307692307692
20210526,24.12280701754386,912,1107,311.675,68.34758771929825,4.457666666666667
20210607,26.990692864529475,967,1107,407.78169014084506,59.91209927611168,5.713375
20201012,82.56772673733805,849,1105,187.9182879377432,57.11660777385159,5.695787500000001
20210308,24.17695473251029,972,1105,457.3897058823529,63.98559670781893,5.3170714285714284
20210510,26.439232409381663,938,1098,391.425,66.76972281449893,8.6144
20210729,22.094691535150645,697,1095,196.88721804511277,112.6857962697274,7.924714285714285
20201118,90.39665970772442,958,1091,266.4135338345865,36.99164926931106,4.922918181818181
20210305,25.25366403607666,887,1087,308.970297029703,70.9391206313416,3.547722222222222
20201103,87.1824480369515,866,1086,217.21363636363637,56.02655889145497,4.402558823529412
20210226,25.573770491803277,915,1086,340.0,65.0207650273224,4.275909090909091
20201128,87.17647058823529,850,1084,144.20425531914893,39.86588235294118,5.263920454545455
20201119,90.0871459694989,918,1075,219.7388535031847,37.57952069716776,7.177398058252427
20201006,90.15486725663717,904,1074,254.92352941176472,48.27654867256637,5.7949705882352935
20201007,89.85507246376811,897,1073,220.17613636363637,43.63656633221851,4.255927536231884
20210602,25.154004106776178,974,1073,499.53465346534654,51.79876796714579,4.73725
20210518,25.646794150731157,889,1072,379.5409836065574,78.13610798650168,5.364857142857143
20200911,87.109375,768,1071,164.88778877887788,65.06119791666667,4.929144329896907
20210207,23.946784922394677,902,1071,367.3757225433526,70.45565410199556,6.114058823529412
20210616,22.983425414364643,905,1071,444.688622754491,82.05745856353592,7.1881818181818184
20210219,24.588477366255145,972,1070,526.92,54.19855967078189,7.36775
20210424,24.031890660592257,878,1058,377.77348066298345,77.87927107061503,4.957916666666667
20210525,29.366812227074234,916,1058,346.6458333333333,56.11135371179039,4.523153846153845
20201109,88.8382687927107,878,1057,219.7094972067039,44.79043280182233,5.574706422018348
20210614,26.19311875693674,901,1055,337.5705128205128,58.639289678135405,13.6015
20210228,23.014018691588785,856,1053,351.60696517412936,83.41121495327103,4.3685
20210205,26.46420824295011,922,1051,404.969696969697,57.97288503253796,6.93725
20201120,90.02217294900223,902,1046,301.7708333333333,48.20066518847007,5.19985294117647
20200819,88.41743119266054,872,1043,328.0701754385965,64.33830275229357,7.194150793650794
20201026,87.4439461883408,892,1040,250.5,41.57286995515695,5.307397959183673
20210621,24.225028702640643,871,1035,432.40361445783134,82.40987370838117,5.412538461538462
20200914,91.25874125874127,858,1032,203.82183908045977,41.32634032634033,4.706463414634146
20201110,88.90122086570477,901,1027,276.42063492063494,38.659267480577135,5.194231707317074
20200820,90.52987598647125,887,1025,290.2826086956522,45.161217587373166,8.911
20200826,88.86198547215496,826,1025,229.0251256281407,55.176755447941886,8.380577777777779
20200929,87.90523690773068,802,1022,259.2690582959641,74.3067331670823,6.797802197802198
